season,team,matches,points,win,draw,loss,goals_for,goals_against,attendance,accurateCross,accurateLongBalls,accuratePasses,aerialDuelsPercentage,ballPossession,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,finalThirdEntries,fouls,goalkeeperSaves,hitWoodwork,interceptionWon,passes,shotsOffGoal,shotsOnGoal,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,wonTacklePercent,goal_difference,win_pct,goals_per_game,position,is_champion,top_4,relegated
2020-2021,Liverpool,38,69,20,9,9,68,42,602.75,4.5,26.94736842105263,547.9473684210526,14.289473684210526,62.3421052631579,,2.8684210526315788,1.9428571428571428,1.3666666666666667,4.552631578947368,6.7631578947368425,10.18421052631579,10.710526315789474,47.78947368421053,66.0,10.421052631578947,2.6315789473684212,0.3157894736842105,9.131578947368421,639.2631578947369,5.815789473684211,5.631578947368421,14.31578947368421,10.68421052631579,16.0,5.315789473684211,13.842105263157896,7.973684210526316,26,52.63157894736842,1.7894736842105263,3,False,True,False
2020-2021,Manchester City,38,86,27,5,6,83,32,543.7878787878788,3.0789473684210527,27.0,603.1842105263158,12.763157894736842,63.6578947368421,,2.789473684210526,1.7352941176470589,1.46875,4.552631578947368,6.5,9.210526315789474,12.763157894736842,51.26315789473684,62.89473684210526,9.5,1.8157894736842106,0.5263157894736842,8.394736842105264,675.0263157894736,5.473684210526316,5.7368421052631575,11.289473684210526,10.368421052631579,15.763157894736842,5.394736842105263,13.105263157894736,7.131578947368421,51,71.05263157894737,2.1842105263157894,1,True,True,False
2020-2021,Manchester United,38,74,21,11,6,73,44,0.0,4.052631578947368,25.92105263157895,468.3157894736842,14.526315789473685,55.89473684210526,,2.611111111111111,1.5454545454545454,1.6538461538461537,3.973684210526316,5.184210526315789,9.473684210526315,10.973684210526315,50.8421052631579,55.973684210526315,11.894736842105264,2.6315789473684212,0.23684210526315788,10.131578947368421,552.2105263157895,4.2631578947368425,5.605263157894737,15.657894736842104,8.526315789473685,13.842105263157896,5.315789473684211,14.5,8.18421052631579,29,55.26315789473685,1.9210526315789473,2,False,True,False
2020-2021,Newcastle United,38,45,12,9,17,46,62,375.0,4.105263157894737,25.394736842105264,262.3157894736842,17.07894736842105,38.36842105263158,,1.6388888888888888,1.096774193548387,0.8620689655172413,2.973684210526316,4.2368421052631575,7.815789473684211,9.210526315789474,50.26315789473684,44.73684210526316,10.210526315789474,3.5,0.34210526315789475,9.526315789473685,345.1578947368421,3.736842105263158,3.736842105263158,23.05263157894737,6.578947368421052,10.447368421052632,3.8684210526315788,13.473684210526315,7.052631578947368,-16,31.57894736842105,1.2105263157894737,12,False,False,False
2020-2021,Sheffield United,38,23,7,2,29,20,63,370.3703703703704,3.4210526315789473,23.763157894736842,296.2894736842105,19.07894736842105,41.36842105263158,,1.2222222222222223,1.0,0.39285714285714285,2.3684210526315788,4.473684210526316,8.5,7.078947368421052,46.39473684210526,54.526315789473685,12.078947368421053,3.8684210526315788,0.13157894736842105,9.236842105263158,385.44736842105266,3.526315789473684,2.6052631578947367,20.94736842105263,5.605263157894737,8.5,2.8947368421052633,16.68421052631579,9.368421052631579,-43,18.421052631578945,0.5263157894736842,20,False,False,True
2020-2021,Southampton,38,43,12,7,19,47,68,596.2413793103449,2.763157894736842,19.55263157894737,369.0,14.052631578947368,52.13157894736842,,1.7777777777777777,1.2424242424242424,0.7666666666666667,2.5526315789473686,4.657894736842105,10.18421052631579,9.0,48.421052631578945,49.078947368421055,11.263157894736842,2.973684210526316,0.3157894736842105,10.5,465.3157894736842,4.184210526315789,4.421052631578948,16.973684210526315,6.605263157894737,11.157894736842104,4.552631578947368,19.18421052631579,11.078947368421053,-21,31.57894736842105,1.236842105263158,15,False,False,False
2020-2021,Tottenham Hotspur,38,62,18,8,12,68,45,352.94117647058823,3.026315789473684,24.0,410.42105263157896,16.44736842105263,51.63157894736842,,2.388888888888889,1.2727272727272727,1.375,2.763157894736842,4.421052631578948,8.789473684210526,10.605263157894736,50.05263157894737,49.18421052631579,11.578947368421053,3.0,0.631578947368421,9.0,501.8421052631579,4.2631578947368425,4.631578947368421,19.63157894736842,7.131578947368421,11.657894736842104,4.526315789473684,16.736842105263158,9.5,23,47.368421052631575,1.7894736842105263,7,False,False,False
2020-2021,West Bromwich Albion,38,26,5,11,22,35,76,508.23333333333335,3.4210526315789473,23.789473684210527,235.52631578947367,19.07894736842105,37.6578947368421,,1.394736842105263,1.0571428571428572,0.5333333333333333,2.0,3.8157894736842106,8.236842105263158,6.947368421052632,48.23684210526316,53.63157894736842,10.631578947368421,4.473684210526316,0.34210526315789475,11.447368421052632,326.0263157894737,3.973684210526316,2.9473684210526314,22.105263157894736,5.2105263157894735,8.921052631578947,3.710526315789474,15.289473684210526,8.631578947368421,-41,13.157894736842104,0.9210526315789473,19,False,False,True
2020-2021,West Ham United,38,65,19,8,11,62,47,491.83870967741933,4.868421052631579,24.5,310.05263157894734,19.92105263157895,42.78947368421053,,2.1315789473684212,1.3333333333333333,1.15625,3.0526315789473686,4.394736842105263,8.368421052631579,7.842105263157895,49.76315789473684,52.421052631578945,9.868421052631579,2.8684210526315788,0.6052631578947368,11.5,398.7368421052632,4.921052631578948,4.342105263157895,19.18421052631579,8.5,12.31578947368421,3.8157894736842106,13.526315789473685,7.368421052631579,15,50.0,1.631578947368421,6,False,False,False
2020-2021,Wolverhampton,38,45,12,9,17,36,52,260.258064516129,4.5,29.68421052631579,383.42105263157896,15.289473684210526,49.31578947368421,,1.2222222222222223,0.8285714285714286,0.7142857142857143,3.4210526315789473,5.473684210526316,8.131578947368421,12.31578947368421,50.578947368421055,46.578947368421055,11.210526315789474,2.710526315789474,0.42105263157894735,11.368421052631579,461.10526315789474,4.7105263157894735,4.052631578947368,17.763157894736842,7.394736842105263,12.18421052631579,4.7894736842105265,15.473684210526315,8.81578947368421,-16,31.57894736842105,0.9473684210526315,13,False,False,False
2021-2022,Arsenal,38,69,22,3,13,61,48,49359.206896551725,3.9210526315789473,20.789473684210527,401.42105263157896,12.368421052631579,53.026315789473685,,1.864864864864865,1.2,0.8709677419354839,4.5,5.473684210526316,8.842105263157896,8.394736842105264,48.26315789473684,59.55263157894737,9.605263157894736,2.7027027027027026,0.47368421052631576,7.7894736842105265,481.3157894736842,5.7894736842105265,5.2105263157894735,16.736842105263158,9.789473684210526,15.5,5.7105263157894735,14.210526315789474,8.18421052631579,13,57.89473684210527,1.605263157894737,5,False,False,False
2021-2022,Aston Villa,38,45,13,6,19,52,54,40635.89655172414,3.8421052631578947,20.763157894736842,312.3157894736842,14.31578947368421,46.44736842105263,,1.4857142857142858,0.9375,0.7586206896551724,3.4473684210526314,5.157894736842105,9.052631578947368,8.763157894736842,51.60526315789474,51.71052631578947,10.552631578947368,2.5789473684210527,0.15789473684210525,8.947368421052632,391.7368421052632,4.5,4.2631578947368425,16.55263157894737,7.657894736842105,12.210526315789474,4.552631578947368,16.68421052631579,10.052631578947368,-2,34.21052631578947,1.368421052631579,14,False,False,False
2021-2022,Brentford,38,46,13,7,18,48,56,30065.0,4.105263157894737,24.55263157894737,283.2105263157895,19.0,44.526315789473685,,1.8333333333333333,1.0571428571428572,0.9666666666666667,3.3157894736842106,4.184210526315789,7.657894736842105,6.894736842105263,50.28947368421053,54.28947368421053,9.763157894736842,3.4864864864864864,0.3157894736842105,10.342105263157896,384.3157894736842,4.2368421052631575,4.078947368421052,21.289473684210527,8.342105263157896,11.631578947368421,3.289473684210526,15.973684210526315,9.0,-8,34.21052631578947,1.263157894736842,13,False,False,False
2021-2022,Brighton & Hove Albion,38,51,12,15,11,42,44,35193.782608695656,4.894736842105263,25.18421052631579,404.63157894736844,15.052631578947368,54.60526315789474,,1.7222222222222223,1.2903225806451613,0.7586206896551724,3.6842105263157894,5.2631578947368425,9.157894736842104,8.342105263157896,51.8421052631579,59.3421052631579,10.342105263157896,2.736842105263158,0.2894736842105263,9.394736842105264,495.39473684210526,5.184210526315789,4.0,18.0,7.842105263157895,12.868421052631579,5.026315789473684,17.526315789473685,10.552631578947368,-2,31.57894736842105,1.105263157894737,9,False,False,False
2021-2022,Burnley,38,35,7,14,17,34,53,28285.166666666668,4.2368421052631575,28.342105263157894,224.05263157894737,21.92105263157895,39.71052631578947,,1.4722222222222223,1.1612903225806452,0.5862068965517241,2.710526315789474,4.815789473684211,7.631578947368421,6.7894736842105265,51.078947368421055,59.526315789473685,10.368421052631579,3.3947368421052633,0.39473684210526316,10.763157894736842,324.0,4.7105263157894735,3.289473684210526,21.894736842105264,6.947368421052632,10.710526315789474,3.763157894736842,15.5,8.526315789473685,-19,18.421052631578945,0.8947368421052632,18,False,False,True
